Name,Discount,New Price,Old Price,Positive Reviews,Number of Reviews
Darkest Dungeon®: Ancestral Edition,76,47.29,194.45,89.0,80710.0
Dying Light Enhanced Edition,70,47.99,159.99,94.0,169549.0
Darkest Dungeon®,80,17.99,89.99,90.0,76798.0
Dying Light,66,33.99,99.99,94.0,164670.0
Loop Hero,15,59.49,69.99,,
Deep Rock Galactic,35,70.19,107.99,97.0,62456.0
Darkest Dungeon®: The Crimson Court,60,14.39,35.99,68.0,1320.0
EA Play,80,2.99,14.99,,
Wreckfest Complete Edition,52,117.19,242.47,84.0,18315.0
Wreckfest,50,62.49,124.99,84.0,18222.0
Europa Universalis IV: Empire Bundle,58,428.91,1024.83,84.0,66021.0
HUMANKIND™,17,214.97,259.0,,
Frostpunk,66,37.39,109.99,90.0,50944.0
Darkest Dungeon®: The Color Of Madness,60,7.19,17.99,71.0,706.0
Project Wingman Obsługa VR,20,71.99,89.99,94.0,4681.0
BioShock: The Collection,80,51.58,257.9,88.0,112869.0
A Way Out,70,35.97,119.9,88.0,8267.0
Breathedge,25,67.49,89.99,88.0,6111.0
Darkest Dungeon Soundtrack,80,7.19,35.99,85.0,141.0
SCUM,40,64.79,107.99,71.0,40407.0
Darkest Dungeon®: The Shieldbreaker,60,5.79,14.49,77.0,386.0
Trine 4: The Nightmare Prince,75,26.99,107.99,91.0,5817.0
Unravel Yarny Bundle,81,10.08,53.8,89.0,1600.0
Curse of the Dead Gods,10,53.99,59.99,88.0,2685.0
Wreckfest - Season Pass 2,34,36.29,54.99,88.0,43.0
Wreckfest - Season Pass 1,40,37.49,62.49,88.0,50.0
SUPERHOT,60,11.99,29.99,89.0,17136.0
Unravel Two,75,6.72,26.9,87.0,717.0
Expansion - Europa Universalis IV: Emperor,50,35.99,71.99,52.0,740.0
Homefront®: The Revolution,80,14.39,71.99,60.0,8366.0
Call of Juarez: Gunslinger,60,19.99,49.99,94.0,11539.0
Unravel,75,6.72,26.9,91.0,883.0
SUPERHOT ONE OF US BUNDLE,66,20.38,59.98,88.0,22323.0
Littlewood,25,40.49,53.99,95.0,3441.0
Europa Universalis IV,75,35.74,142.99,87.0,61136.0
Hunt: Showdown - Anniversary Bundle,63,119.59,326.96,82.0,61996.0
Frostpunk: Game of the Year Edition,55,106.73,235.96,89.0,53266.0
SUPERHOT: MIND CONTROL DELETE,60,11.99,29.99,86.0,5187.0
Homefront Collection,80,58.2,292.49,61.0,11187.0
Phantom Doctrine,80,28.59,142.99,76.0,2543.0
Gloria Victis: Medieval MMORPG,50,34.99,69.99,70.0,4299.0
Dying Light: The Following,66,23.79,69.99,80.0,2857.0
Maquette,10,64.79,71.99,80.0,21.0
Unity of Command II + DLC,41,85.48,143.98,81.0,852.0
Blackwake,90,3.59,35.99,83.0,18254.0
Production Line : Car factory simulation,68,28.79,89.99,84.0,2395.0
SCUM + Supporter Pack,34,95.74,143.98,71.0,40905.0
Dying Light / Left 4 Dead 2,64,71.38,195.98,96.0,488518.0
Car Mechanic Simulator 2015 - Platinum Edition,86,30.14,217.69,91.0,10906.0
Trine 4: Melody of Mystery,20,23.19,28.99,94.0,123.0
Evil Bank Manager,51,21.56,43.99,77.0,1277.0
Total War: THREE KINGDOMS - Fates Divided,10,37.79,41.99,,
Fights in Tight Spaces,10,80.99,89.99,93.0,247.0
Trine: Ultimate Collection,80,62.57,312.97,90.0,34264.0
Car Mechanic Simulator 2015 Gold Edition,90,8.99,89.99,91.0,10704.0
All-In-One Sports VR Tylko VR,30,75.59,107.99,76.0,30.0
THE COMPLETE SUPERHOT BUNDLE,61,58.47,149.97,88.0,26917.0
Stronghold Crusader 2 Ultimate Edition,80,51.99,259.99,84.0,15325.0
Call to Arms - Ultimate Edition,75,44.99,179.99,78.0,7869.0
Mass Production Bundle,54,58.29,125.97,84.0,2407.0
Expansion - Europa Universalis IV: Art of War,50,35.99,71.99,60.0,290.0
Bus Driver Simulator Obsługa VR,80,14.99,74.99,56.0,1298.0
Call of Juarez Bundle,72,35.93,129.79,92.0,14725.0
Trine 3: The Artifacts of Power,75,19.75,79.0,65.0,5514.0
Foregone,20,57.59,71.99,81.0,48.0
Expansion - Europa Universalis IV: Mandate of Heaven,50,35.99,71.99,58.0,328.0
SUPERHOT VR Tylko VR,40,53.99,89.99,88.0,4594.0
RUNNING WITH RIFLES,80,10.99,54.99,88.0,6956.0
Expansion - Europa Universalis IV: Dharma,50,35.99,71.99,35.0,477.0
CrossCode: A New Home,10,29.69,32.99,98.0,122.0
Hero Siege,85,4.19,27.99,78.0,18884.0
TROUBLESHOOTER: Abandoned Children,33,60.29,89.99,94.0,4149.0
Homefront®: The Revolution - Expansion Pass,60,21.59,53.99,68.0,69.0
Monster Jam Steel Titans,75,19.99,79.99,71.0,188.0
Geneforge 1 - Mutagen,15,61.19,71.99,94.0,74.0
Nine Parchments,75,17.99,71.99,77.0,2454.0
Nimbatus - The Space Drone Constructor,30,50.39,71.99,83.0,1192.0
Expansion - Europa Universalis IV: El Dorado,50,26.99,53.99,71.0,317.0
Rhythm Doctor,10,52.19,57.99,98.0,2434.0
Enemy Front,90,7.19,71.99,62.0,2611.0
Call to Arms,75,13.49,53.99,78.0,7769.0
Expansion - Europa Universalis IV: Conquest of Paradise,50,26.99,53.99,38.0,142.0
Project Warlock,66,13.6,40.0,90.0,1887.0
Car Mechanic Simulator 2015,90,7.19,71.99,91.0,10173.0
Vaporum: Lockdown,30,45.49,64.99,88.0,120.0
Giraffe and Annika,30,50.39,71.99,91.0,159.0
The Golf Club™ 2019 featuring PGA TOUR,75,52.25,209.0,72.0,1474.0
Trine Enchanted Edition,75,13.49,53.99,95.0,9716.0
CrossCode Complete Edition,13,94.74,108.57,94.0,8870.0
Carmageddon: Max Damage,80,12.19,60.99,77.0,1806.0
MX vs ATV All Out,75,39.99,159.99,73.0,595.0
Dying Light - Hellraid,15,29.74,34.99,34.0,865.0
Cattails | Become a Cat!,75,13.49,53.99,95.0,1083.0
Homefront,80,14.39,71.99,62.0,2669.0
Expansion - Europa Universalis IV: Cradle of Civilization,50,35.99,71.99,65.0,170.0
Heavenworld,75,26.99,107.99,72.0,151.0
Call of Juarez,75,9.97,39.9,81.0,1220.0
Fury Unleashed,50,35.99,71.99,92.0,627.0
Sakura Succubus 4,25,26.99,35.99,100.0,10.0
Immersion Pack - Europa Universalis IV: Golden Century,50,17.99,35.99,30.0,399.0
Expansion - Europa Universalis IV: Rights of Man,50,35.99,71.99,71.0,269.0
Expansion - Europa Universalis IV: The Cossacks,50,35.99,71.99,45.0,331.0
Green Project,50,21.99,43.99,88.0,672.0
Calico,15,37.39,43.99,91.0,950.0
Expansion - Europa Universalis IV: Wealth of Nations,50,17.99,35.99,51.0,121.0
Devil Daggers,50,8.99,17.99,96.0,4700.0
Dying Light - Retrowave Bundle,33,7.36,10.99,93.0,270.0
BioShock™ Remastered,67,28.34,85.9,77.0,22821.0
Immersion Pack - Europa Universalis IV: Third Rome,50,17.99,35.99,43.0,222.0
Neo Cab,40,32.39,53.99,86.0,850.0
Expansion - Europa Universalis IV: Common Sense,50,26.99,53.99,52.0,461.0
Expansion - Europa Universalis IV: Mare Nostrum,50,26.99,53.99,41.0,263.0
BAJA: Edge of Control HD,75,29.99,119.99,78.0,192.0
Carmageddon 2: Carpocalypse Now,80,7.19,35.99,84.0,259.0
Palindrome Syndrome: Escape Room,33,24.11,35.99,89.0,88.0
PGA TOUR 2K21,50,134.5,269.0,82.0,2241.0
Odd Realm,25,26.99,35.99,92.0,456.0
Ball 3D,50,1.79,3.59,90.0,664.0
Low Magic Age,60,21.59,53.99,91.0,1878.0
